epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.157,1.20041,2.3454,1.35042,0.66382,0.326,0.32963,0.21246,0.94541,0.86908,1.06914,0.00325926,0.00325926,0.0706667
2,312.022,1.011,0.94135,1.15894,0.61702,0.40292,0.42148,0.26561,0.94522,0.78251,1.05342,0.00652733,0.00652733,0.0406014
3,431.856,1.01782,0.85591,1.13869,0.52797,0.4302,0.43547,0.26517,1.0034,0.90957,1.0961,0.00972939,0.00972939,0.0104701
4,547.646,1.04732,0.85624,1.16561,0.49573,0.41681,0.41856,0.25218,1.06658,1.01894,1.14908,0.009703,0.009703,0.009703
5,664.319,1.05875,0.84665,1.16653,0.54965,0.40022,0.42015,0.25702,1.0467,0.91379,1.14672,0.009604,0.009604,0.009604
6,791.336,1.06018,0.81826,1.16902,0.56364,0.44511,0.45193,0.27272,1.05218,0.80031,1.14148,0.009505,0.009505,0.009505
7,907.878,1.03701,0.79527,1.16293,0.56237,0.45221,0.45821,0.28361,1.02249,0.83334,1.12956,0.009406,0.009406,0.009406
8,1024.79,1.03511,0.792,1.15218,0.62018,0.46314,0.48895,0.29655,1.01544,0.75779,1.12558,0.009307,0.009307,0.009307
9,1140.22,1.01605,0.7486,1.13678,0.57803,0.47976,0.47322,0.29142,1.01566,0.79566,1.11992,0.009208,0.009208,0.009208
10,1261.74,0.99625,0.73361,1.13613,0.65452,0.47787,0.51896,0.32356,0.98078,0.7201,1.10492,0.009109,0.009109,0.009109
11,1378.8,0.99483,0.7248,1.1328,0.58061,0.5049,0.51544,0.31868,0.99008,0.7069,1.09885,0.00901,0.00901,0.00901
12,1498.96,0.99296,0.72499,1.13358,0.60335,0.50658,0.52165,0.32814,0.98052,0.71429,1.09515,0.008911,0.008911,0.008911
13,1614.23,0.97979,0.71192,1.12054,0.65193,0.48887,0.51372,0.32962,0.97394,0.71399,1.09875,0.008812,0.008812,0.008812
14,1739.71,0.9716,0.70534,1.12427,0.59183,0.50519,0.51632,0.31834,0.99633,0.72369,1.10717,0.008713,0.008713,0.008713
15,1855.51,0.96171,0.68913,1.11548,0.65781,0.48997,0.52336,0.32625,0.9709,0.69285,1.08745,0.008614,0.008614,0.008614
16,1974.66,0.95379,0.67832,1.10588,0.62703,0.51707,0.5247,0.33436,0.97506,0.72401,1.09249,0.008515,0.008515,0.008515
17,2092.92,0.94461,0.66779,1.10051,0.64388,0.52024,0.55407,0.35293,0.95258,0.66668,1.06808,0.008416,0.008416,0.008416
18,2220.77,0.95619,0.66399,1.10434,0.63288,0.52899,0.53726,0.34373,0.97806,0.68606,1.1002,0.008317,0.008317,0.008317
